簦	dēng
簧	huáng
簨	sǔn
簨	zhuàn
簩	láo
簪	zān
簪	zǎn
簫	xiāo
簫	xiǎo
簬	lù
簭	shì
簮	zān
簯	qi
簰	pái
簱	qí
簲	pái
簳	gàn
簳	gǎn
簴	jù
簵	lù
簶	lù
簷	yán
簸	bò
簸	bǒ
簹	dāng
簺	sài
簻	kē
簻	zhuā
簼	gōu
簽	qiān
簾	lián
簿	bó
簿	bù
籀	zhòu
籁	lài
籂	shi
籃	lán
籄	kuì
籅	yú
籆	yuè
籇	háo
籈	jiān
籈	zhēn
籉	tái
籊	tì
籋	mí
籋	niè
籌	chóu
籌	táo
籍	jiè
籍	jí
籎	yí
籏	qí
籐	téng
籑	zhuàn
籒	zhòu
籓	bān
籓	fān
籓	pān
籔	shǔ
籔	sǒu
籕	zhòu
籖	qian
籗	zhuó
籘	téng
籙	lù
籚	lú
籛	jiān
籛	jiǎn
籜	tuò
籝	yíng
籞	yù
籟	lài
籠	lóng
籠	lǒng
籡	qiè
籢	lián
籣	lán
籤	qiān
籥	yuè
籦	zhōng
籧	jǔ
籧	qú
籨	lián
籩	biān
籪	duàn
籫	zuǎn
籬	lí
籭	sī
籮	luó
籯	yíng
籰	yuè
籱	zhuó
籲	yù
米	mǐ
籴	dí
籴	zá
籵	fán
籶	shēn
籷	zhé
籸	shēn
籹	nǚ
籺	hé
类	lèi
籼	xiān
籽	zǐ
籾	ní
籿	cùn
粀	zhàng
粁	qiān
粂	zhāi
粃	bǐ
粃	pī
粄	bǎn
粅	wù
粆	chǎo
粆	shā
粇	jīng
粇	kāng
粈	róu
粉	fěn
粊	bì
粋	cuì
粌	yin
粍	zhé
粎	mǐ
粏	tai
粐	hù
粑	bā
粒	lì
粓	gān
粔	jù
粕	pò
粖	mò
粗	cū
粘	nián
粘	zhān
粙	zhòu
粚	chī
粛	sù
粜	tiào
粝	lì
粞	xī
粟	sù
粠	hóng
粡	tóng
粢	cí
粢	jì
粢	zī
粣	cè
粣	sè
粤	yuè
粥	yù
粥	zhōu
粦	lín
粧	zhuāng
粨	bǎi
粩	lāo
粪	fèn
粫	ér
粬	qū
粭	hé
粮	liáng
粯	xiàn
粰	fú
粰	fū
粱	liáng
粲	càn
粳	jīng
粴	lǐ
粵	yuè
粶	lù
粷	jú
粸	qí
粹	cuì
粹	suì
粺	bài
粻	zhāng
粼	lín
粼	lǐn
粽	zòng
精	jìng
精	jīng
精	qíng
粿	guǒ
粿	huà
糀	huā
糁	sǎn
糂	sǎn
糃	táng
糄	biān
糄	biǎn
糅	róu
糆	miàn
糇	hóu
糈	xǔ
糉	zòng
糊	hù
糊	hú
糊	hū
糋	jiàn
糌	zān
糍	cí
糎	lí
糏	xiè
糐	fū
糑	nuò
糒	bèi
糓	gǔ
糔	xiǔ
糕	gāo
糖	táng
糗	qiǔ
糘	jiā
糙	cāo
糚	zhuāng
糛	táng
糜	méi
糜	mí
糝	sān
糝	sǎn
糞	fèn
糟	zāo
糠	kāng
糡	jiàng
糢	mó
糣	sǎn
糤	sǎn
糥	nuò
糦	xī
糧	liáng
糨	jiàng
糨	jiāng
糩	kuài
糪	bò
糫	huán
糬	shǔ
糭	zòng
糮	xiàn
糯	nuò
糰	tuán
糱	niè
糲	lì
糳	zuò
糴	dí
糵	niè
糶	diào
糶	tiào
糷	làn
糸	mì
糸	sī
糹	sī
糺	jiū
糺	jiǔ
系	jì
系	xì
糼	gōng
糽	zhēng
糽	zhěng
糾	jiū
糾	jiǎo
糿	yòu
紀	jì
紀	jǐ
紁	chà
紂	zhòu
紃	xún
約	dì
約	yuē
約	yào
約	yāo
紅	gōng
紅	hóng
紅	jiàng
紆	yū
紆	ōu
紇	gē
紇	hé
紇	jié
紈	wán
紉	rèn
紊	wèn
紊	wěn
紋	wèn
紋	wén
紌	qiú
納	nà
紎	zī
紏	tǒu
紐	niǔ
紑	fóu
紒	jiè
紒	jié
紒	jì
紓	shū
純	chún
純	quán
純	tún
純	zhūn
純	zhǔn
純	zī
紕	bì
紕	bī
紕	bǐ
紕	chǐ
紕	pí
紕	pī
紖	zhèn
紗	miǎo
紗	shā
紘	hóng
紙	zhǐ
級	jí
紛	fēn
紜	yún
紝	rèn
紞	dǎn
紟	jìn
紟	jīn
素	sù
紡	bǎng
紡	fàng
紡	fǎng
索	suǒ
紣	cuì
紤	jiǔ
紥	zā
紦	ba
紧	jǐn
紨	fù
紨	fū
紩	zhì
紪	qī
紫	zǐ
紬	chóu
紬	chōu
紬	zhòu
紭	hóng
紮	zhā
紮	zā
累	liè
累	lèi
累	léi
累	lěi
累	lǜ
細	xì
紱	fú
紲	xiè
紲	yì
紳	shēn
紴	bì
紴	bō
紵	shū
紵	zhù
紶	qū
紶	qǔ
紷	líng
紸	zhù
紹	chāo
紹	shào
紺	gàn
紻	yǎng
紼	fèi
紼	fú
紽	tuó
紾	jǐn
紾	tiǎn
紾	zhěn
紿	dài
絀	chù
絁	shī
終	zhōng
絃	xián
絃	xuàn
組	qū
組	zǔ
絅	jiōng
絅	jiǒng
絆	bàn
絇	qú
絈	mò
絉	shù
絊	zuì
絋	kuàng
経	jīng
絍	rèn
絎	háng
絏	xiè
絏	yì
結	jié
結	jiē
結	jì
絑	zhū
絒	chóu
絓	guà
絓	kuā
絔	bǎi
絔	mò
絕	jué
絖	kuàng
絗	hú
絘	cì
絙	gēng
絙	huán
絚	gēng
絛	tāo
絜	jiá
絜	jié
絜	qià
絜	qì
絜	xié
絝	kù
絞	jiào
絞	jiǎo
絞	xiáo
絟	quán
絠	gǎi
絠	ǎi
絡	luò
絡	lào
絢	xuàn
絢	xún
絣	bēng
絣	bīng
絣	pēng
絤	xiàn
絥	fú
給	gěi
給	jǐ
給	xiá
絧	dòng
絧	tóng
絧	tōng
絨	róng
絩	diào
絩	dào
絩	tiào
絪	yīn
絫	lěi
絬	xiè
絭	juàn
絮	chù
絮	nà
絮	nǜ
絮	xù
絯	gāi
絯	hài
絰	dié
統	tǒng
絲	sī
絳	jiàng
絴	xiáng
絵	huì
絶	jué
絷	zhí
絸	jiǎn
絹	juàn
絹	xuàn
絺	chī
絺	zhǐ
絻	miǎn
絻	mán
絻	wàn
絻	wèn
絼	zhèn
絽	lǚ
絾	chéng
絿	qiú
綀	shū
綁	bǎng
綂	tǒng
綃	shāo
綃	xiāo
綄	huàn
綄	huán
綄	wàn
綅	qīn
綅	xiān
綆	bǐng
綆	gěng
綇	xiǔ
綈	tì
綈	tí
綉	tòu
綉	xiù
綊	xié
綋	hóng
綌	xì
綍	fú
綎	tīng
綏	ruí
綏	shuāi
綏	suí
綏	suī
綏	tuǒ
綐	duì
綑	kǔn
綒	fū
經	jìng
經	jīng
綔	hù
綕	zhī
綖	xiàn
綖	yán
綗	jiǒng
綘	féng
継	jì
続	xù
綛	rěn
綜	zèng
綜	zòng
綜	zōng
綝	chēn
綝	shēn
綞	duǒ
綟	liè
綟	lì
綠	lǜ
綡	liáng
綢	chóu
綢	diào
綢	tāo
綣	quǎn
綤	shào
綥	qí
綦	qì
綦	qí
綧	zhùn
綧	zhǔn
綨	qí
綩	wǎn
綪	qiàn
綪	qīng
綪	zhēng
綫	xiàn
綬	shòu
維	wéi
維	yí
綮	qìng
綮	qǐ
綯	táo
綰	wǎn
綱	gāng
網	wǎng
綳	bēng
綴	chuò
綴	zhuì
綵	cǎi
綶	guǒ
綷	cuì
綷	zú
綸	guān
綸	lún
綹	liǔ
綺	qǐ
綺	yǐ
綻	zhàn
綼	bì
綽	chuò
綽	chāo
綾	líng
綿	mián
緀	qī
緁	qiè
緂	chān
緂	tián
緂	tǎn
緃	zōng
緄	gǔn
緄	hùn
緄	hún
緅	zōu
緆	xī
緇	zī
緈	xìng
緉	liǎng
緊	jǐn
緋	fēi
緌	ruí
緍	mín
緎	yù
総	cōng
総	zǒng
緐	fán
緑	lù
緑	lǜ
緒	xù
緓	yīng
緔	shàng
緕	qi
緖	xù
緗	xiāng
緘	jiān
緙	kè
線	xiàn
緛	ruàn
緛	ruǎn
緜	mián
緝	jí
緝	jī
緝	qì
緝	qī
緞	duàn
緟	chóng
緟	zhòng
締	dì
緡	hún
緡	mián
緡	mín
緡	mǐn
緢	miáo
緢	máo
緣	yuàn
緣	yuán
緤	xiè
緤	yè
緥	bǎo
緦	sī
緧	qiū
編	biàn
編	biān
編	biǎn
緩	huǎn
緪	gèng
緪	gēng
緫	cōng
緬	miǎn
緭	wèi
緮	fù
緯	wěi
緰	tóu
緰	xū
緰	yú
緱	gōu
緲	miǎo
緳	xié
練	liàn
緵	zòng
緵	zōng
緶	biàn
緶	biǎn
緶	pián
緷	gǔn
緷	yùn
緸	yīn
緹	tí
緺	guā
緻	zhì
緼	wēn
緼	yùn
緽	chēng
緾	chán
緿	dài
縀	xiá
縁	yuán
縂	zǒng
縃	xū
縄	shéng
縅	wēi
縆	gēng
縇	xuān
縈	yíng
縉	jìn
縊	yì
縋	zhuì
縌	nì
縍	bàng
縍	bāng
縎	gǔ
縎	hú
縏	pán
縐	chào
縐	cù
縐	zhòu
縐	zhōu
縑	jiān
縒	cuò
縒	cī
縒	suǒ
縓	quán
縔	shuǎng
縕	yùn
縖	xiá
縗	cuī
縗	shuāi
縗	suī
縘	xī
縙	ròng
縙	róng
縙	rǒng
縚	tāo
縛	fù
縜	yún
縝	chēn
縝	zhěn
縞	gǎo
縟	rù
縟	rǒng
縠	hú
縡	zài
縡	zēng
縢	téng
縣	xiàn
縣	xuán
縤	sù
縥	zhěn
縦	zòng
縧	tāo
縨	huǎng
縩	cài
縪	bì
縫	fèng
縫	féng
縬	cù
縭	lí
縮	suō
縮	sù
縯	yǎn
縯	yǐn
縰	xǐ
縱	cóng
縱	zòng
縱	zǒng
縲	léi
縳	juàn
縳	zhuàn
縴	qiàn
縴	qiān
縵	màn
縶	zhí
縷	lǚ
縸	mò
縸	mù
縹	piāo
縹	piǎo
縺	lián
縻	mí
縼	xuàn
總	cōng
總	zōng
總	zǒng
績	jī
縿	cǎn
縿	shān
縿	sāo
縿	xiān
縿	xiāo
繀	cuǐ
繀	suì
繁	fán
繁	pán
繁	pó
繂	lǜ
繃	bèng
繃	bēng
繃	běng
繄	yì
繄	yī
繅	sāo
繅	zǎo
繆	jiū
繆	liào
繆	liáo
繆	liǎo
繆	lù
繆	miào
繆	miù
繆	móu
繆	mù
繇	yáo
繇	yóu
繇	zhòu
繈	qiǎng
繉	hún
繊	xiān
繋	jì
繌	sha
繍	xiù
繎	rán
繏	xuàn
繐	suì
繑	juē
繑	qiāo
繒	céng
繒	zèng
繒	zēng
繓	zuǒ
織	zhì
織	zhī
繕	shàn
繖	sǎn
繗	lín
繘	jué
繘	yù
繙	fán
繙	fān
繚	liáo
繚	rǎo
繛	chuò
繜	zūn
繝	jiàn
繞	rào
繞	rǎo
繟	chán
繟	chǎn
繠	ruǐ
繡	xiù
繢	huì
繢	huí
繣	huà
繤	zuǎn
繥	xī
繦	qiǎng
繧	yun
繨	da
繩	mǐn
繩	shèng
繩	shéng
繩	yìng
繪	guì
繪	huì
繫	jì
繫	xì
繬	sè
繭	jiǎn
繮	jiāng
繯	huán
繰	qiāo
繰	sāo
繰	zǎo
繱	cōng
繲	xiè
繳	hé
繳	jiào
繳	jiǎo
繳	zhuó
繴	bì
繵	chán
繵	dàn
繵	tán
繶	yì
繷	nǒng
繸	suì
繹	shì
繹	yì
繺	shǎi
繻	rú
繻	xū
繼	jì
繽	bīn
繾	qiǎn
繿	lán
纀	fú
纀	pú
纁	xūn
纂	zuǎn
纃	qí
纄	péng
纅	lì
纅	yào
纆	mò
纇	lèi
纈	xié
纉	zuǎn
纊	kuàng
纋	yōu
續	xù
纍	lèi
纍	léi
纍	lěi
纎	xiān
纏	chán
纐	jiǎo
纑	lú
纒	chán
纓	yīng
纔	cái
纔	shān
纕	rǎng
纕	sāng
纕	xiāng
纖	jiān
纖	xiān
纗	zuī
纘	zuǎn
纙	luò
纚	lí
纚	lǐ
纚	sǎ
纚	xǐ
纛	dào
纛	dú
纜	lǎn
纝	léi
纞	liàn
纟	sī
纠	jiū
纡	yū
红	hóng
纣	zhòu
纤	xiān
纥	hé
约	yuē
级	jí
纨	wán
纩	kuàng
纪	jì
纫	rèn
纬	wěi
纭	yún
纮	hóng
纯	chún
纰	pī
纱	shā
纲	gāng
纳	nà
纴	rèn
纵	zòng
纶	lún
纷	fēn
纸	zhǐ
纹	wén
纺	fǎng
纻	zhù
纼	zhèn
纽	niǔ
纾	shū
线	xiàn
绀	gàn
绁	xiè
绂	fú
练	liàn
组	zǔ
绅	shēn
细	xì
织	zhī
终	zhōng
绉	zhòu
绊	bàn
绋	fú
绌	chù
绍	shào
绎	yì
经	jīng
绐	dài
绑	bǎng
绒	róng
结	jié
绔	kù
绕	rào
绖	dié
绗	háng
绘	huì
给	gěi
绚	xuàn
绛	jiàng
络	luò
绝	jué
绞	jiǎo
统	tǒng
绠	gěng
绡	xiāo
绢	juàn
绣	xiù
绤	xì
绥	suí
绦	tāo
继	jì
绨	tí
绩	jì
绪	xù
绫	líng
绬	yīng
续	xù
绮	qǐ
绯	fēi
绰	chuò
绱	shàng
绲	gǔn
绳	shéng
维	wéi
绵	mián
绶	shòu
绷	bēng
绸	chóu
绹	táo
绺	liǔ
绻	quǎn
综	zōng
绽	zhàn
绾	wǎn
绿	lǜ
缀	zhuì
缁	zī
缂	kè
缃	xiāng
缄	jiān
缅	miǎn
缆	lǎn
缇	tí
缈	miǎo
缉	jī
缊	yùn
缋	huì
缌	sī
缍	duǒ
缎	duàn
缏	biàn
缐	xiàn
缑	gōu
缒	zhuì
缓	huǎn
缔	dì
缕	lǚ
编	biān
缗	mín
缘	yuán
缙	jìn
缚	fù
缛	rù
缜	zhěn
缝	fèng
缞	cuī
缟	gǎo
缠	chán
缡	lí
缢	yì
缣	jiān
缤	bīn
缥	piāo
缦	màn
缧	léi
缨	yīng
缩	suō
缪	móu
缫	sāo
缬	xié
缭	liáo
缮	shàn
缯	zēng
缰	jiāng
缱	qiǎn
缲	qiāo
缳	huán
缴	jiǎo
缵	zuǎn
缶	fǒu
缷	xiè
缸	gāng
缹	fǒu
缺	kuǐ
缺	quē
缻	fǒu
缼	qi
缽	bō
缾	píng
缿	xiàng
罀	zhao
罁	gāng
罂	yīng
罃	yīng
罄	qìng
罅	xià
罆	guàn
罇	zūn
罈	tán
罉	chēng
罊	qì
罋	wèng
罌	yīng
罍	léi
罎	tán
罏	lú
罐	guàn
网	wǎng
罒	wǎng
罓	gāng
罔	wáng
罔	wǎng
罕	hàn
罕	hǎn
罖	luó
罗	luó
罘	fú
罙	shēn
罚	fá
罛	gū
罜	dú
罜	zhǔ
罝	jiē
罝	jū
罞	máo
罟	gǔ
罠	mín
罡	gāng
罢	bà
罣	guà
罤	kūn
罤	tí
罥	juàn
罦	fú
罧	shèn
罨	yǎn
罩	zhào
罪	zuì
罫	guà
罫	guǎi
罫	huà
罬	zhuó
罭	yù
置	zhì
罯	ǎn
罰	fá
罱	lǎn
罱	nǎn
署	shǔ
罳	sī
罴	pí
罵	mà
罶	liǔ
罷	ba
罷	bà
罷	bǎi
罷	bǐ
罷	pì
罷	pí
罸	fá
罹	lí
罺	cháo
罻	wèi
罼	bì
罽	jì
罾	zēng
罿	chōng
羀	liǔ
羁	jī
羂	juàn
羃	mì
羄	zhào
羅	luo
羅	luó
羅	luō
羆	pí
羇	jī
羈	jī
羉	luán
羊	yáng
羋	miē
羋	mǐ
羌	qiāng
羍	dá
美	měi
羏	xiáng
羏	yáng
羐	yǒu
羑	yǒu
羒	fén
羓	bā
羔	gāo
羕	yàng
羖	gǔ
羗	qiāng
羗	yǒu
羘	zāng
羙	gāo
羙	měi
羚	líng
羛	xī
羛	yì
羜	zhù
羝	dī
羞	xiū
羟	qiǎng
羠	yí
羡	xiàn
羡	yán
羡	yí
羢	róng
羣	qún
群	qún
羥	qiān
羥	qiǎng
羦	huán
羧	suō
羧	zuī
羨	xiàn
義	xī
義	yì
義	yí
羪	yang
羫	kàng
羫	qiāng
羬	qián
羬	xián
羬	yán
羭	yú
羮	gēng
羯	jié
羰	tāng
羱	yuán
羲	xī
羳	fán
羴	shān
羵	fén
羶	shān
羷	liǎn
羸	lián
羸	léi
羹	gēng
羹	láng
羺	nóu
羻	qiàng
羼	chàn
羽	hù
羽	yǔ
羾	gòng
羿	yì
翀	chōng
翁	wēng
翁	wěng
翂	fēn
翃	hóng
翄	chì
翅	chì
翆	cuì
翇	fú
翈	xiá
翉	běn
翊	yì
翋	lā
翌	yì
翍	bì
翍	pī
翍	pō
翎	líng
翏	liù
翏	lù
翐	zhì
翑	qú
習	xí
翓	xié
翔	xiáng
翕	xī
翖	xī
翗	ké
翘	qiào
翙	huì
翚	huī
翛	shū
翛	xiāo
翜	shà
翝	hóng
翞	jiāng
翟	dí
翟	zhái
翠	cuì
翡	fěi
翢	dào
翢	zhōu
翣	shà
翤	chì
翥	zhù
翦	jiǎn
翧	xuān
翨	chì
翩	piān
翪	zōng
翫	wàn
翫	wán
翬	huī
翭	hóu
翮	hé
翮	lì
翯	hào
翯	hè
翰	hàn
翱	áo
翲	piāo
翳	yì
翴	lián
翵	hóu
翵	qú
翶	áo
翷	lín
翸	pěn
翹	qiào
翹	qiáo
翺	áo
翻	fān
翼	yì
翽	huì
翾	xuān
翿	dào
耀	yào
老	lǎo
耂	lǎo
考	kǎo
耄	mào
者	zhě
耆	qí
耆	shì
耆	zhǐ
耇	gǒu
耈	gǒu
耉	gǒu
耊	dié
耋	dié
而	néng
而	ér
耍	shuǎ
耎	nuò
耎	ruǎn
耏	nài
耏	ér
耐	nài
耐	néng
耑	duān
耑	zhuān
耒	lěi
耓	tīng
耔	zǐ
耕	gēng
耖	chào
耗	hào
耗	mào
耗	máo
耘	yún
耙	bà
耙	pá
耚	pī
耛	chí
耛	yí
耜	sì
耝	chú
耝	qù
耞	jiā
耟	jù
耠	huō
耡	chú
耢	lào
耣	lún
耣	lǔn
耤	jiè
耤	jí
耥	tāng
耥	tǎng
耦	ǒu
耧	lóu
耨	nòu
耩	jiǎng
耪	pǎng
耫	zhá
耫	zé
耬	lóu
耬	lǒu
耭	jī
耮	lào
耯	huò
耰	yōu
耱	mò
耲	huái
耳	réng
耳	ěr
耴	yì
耵	dīng
耶	xié
耶	yé
耶	yē
耷	dā
耷	zhé
耸	sǒng
耹	qín
耺	yíng
耺	yún
耻	chǐ
耼	dān
耽	dān
耾	hóng
耿	gěng
聀	zhí
聁	pàn
聂	niè
聃	dān
聄	zhěn
聅	chè
聆	líng
聇	zhēng
聈	yǒu
聉	tuǐ
聉	wà
聉	zhuó
聊	liáo
聊	liú
聋	lóng
职	zhí
聍	níng
聎	tiāo
聏	nǜ
聏	ér
聐	yà
聑	tiē
聑	zhé
聒	guā
聒	guō
聓	xù
联	lián
聕	hào
聖	shèng
聗	liè
聘	pìn
聘	pìng
聙	jīng
聚	jù
聛	bǐ
聜	dǐ
聝	guó
聞	wèn
聞	wén
聟	xù
聠	pīng
聡	cōng
聢	dìng
聣	ní
聤	tíng
聥	jǔ
聦	cōng
聧	kuī
聨	lián
聩	kuì
聪	cōng
聫	lián
聬	wěng
聭	kuì
聮	lián
聯	lián
聰	cōng
聱	yóu
聱	áo
聲	shēng
聳	sǒng
聴	tīng
聵	kuì
聶	niè
聶	shè
聶	yè
聶	zhé
職	tè
職	zhí
聸	dān
聹	níng
聺	qié
聻	jiàn
聻	nǐ
聼	tīng
聽	tīng
聾	lóng
聿	yù
肀	yù
肁	zhào
肂	sì
肃	sù
肄	sì
肄	yì
肅	sù
肆	sì
肆	tì
肇	zhào
肈	zhào
肉	ròu
肉	rù
肊	yì
肋	jīn
肋	lè
肋	lèi
肋	lē
肌	jì
肌	jī
肍	qiú
肎	kěn
肏	cào
肐	gē
肐	qì
肑	bó
肑	dí
肒	huàn
肓	huāng
肔	chǐ
肕	rèn
肖	xiào
肖	xiāo
肗	rǔ
肘	zhǒu
肙	yuàn
肚	dù
肚	dǔ
肛	gāng
肜	chēn
肜	róng
肝	gān
肞	chā
肟	wò
肠	cháng
股	gǔ
肢	shì
肢	zhī
肣	hàn
肣	hán
肣	qín
肤	fū
肥	bǐ
肥	féi
肦	fén
肧	pēi
肨	fēng
肨	pàng
肨	pāng
肩	jiān
肩	xián
肪	fáng
肫	chún
肫	tún
肫	zhuō
肫	zhūn
肬	yóu
肭	nà
肭	nù
肮	gāng
肮	háng
肮	āng
肯	kěn
肰	rán
肱	gōng
育	yù
育	zhòu
肳	wěn
肴	yáo
肵	qí
肶	bì
肶	pí
肷	qiǎn
肷	xù
肸	bì
肸	xī
肹	xī
肺	fèi
肺	pèi
肻	kěn
肼	jǐng
肽	tài
肾	shèn
肿	zhǒng
胀	zhàng
胁	xié
胂	chēn
胂	shèn
胂	shēn
胃	wèi
胄	zhòu
胅	dié
胆	dá
胆	dǎn
胆	tán
胆	tǎn
胇	bì
胇	fèi
胇	fěi
胈	bá
胉	bó
胊	qú
胋	tián
背	bèi
背	bēi
胍	guā
胍	gū
胍	hù
胎	tāi
胏	fèi
胏	zǐ
胐	fěi
胑	zhī
胒	nì
胓	píng
胓	pēng
胔	cí
胔	jí
胔	zì
胕	fú
胕	fū
胕	fǔ
胕	zhǒu
胖	pàn
胖	pàng
胖	pán
胗	zhēn
胗	zhěn
胗	zhūn
胘	xián
胙	zuò
胚	pēi
胛	jiǎ
胜	qìng
胜	shèng
胜	shēng
胜	xīng
胝	chī
胝	dì
胝	zhī
胞	bāo
胞	pào
胞	páo
胟	mǔ
胠	qū
胡	hú
胢	kē
胣	chǐ
胤	yìn
胥	xū
胥	xǔ
胦	yāng
胧	lóng
胨	dòng
胩	kǎ
胪	lú
胫	jìng
胬	nǔ
胬	nǚ
胭	yān
胮	pāng
胯	kuà
胯	kuǎ
胰	yí
胱	guāng
胲	gāi
胲	gǎi
胲	hǎi
胳	gé
胳	gē
胴	dòng
胵	chī
胵	zhì
胶	jiāo
胶	xiáo
胷	xiōng
胸	xiōng
胹	ér
胺	àn
胺	è
胻	héng
胼	pián
能	nài
能	nái
能	néng
能	tái
能	xióng
胾	zì
胿	guī
胿	kuì
脀	chéng
脀	zhèng
脀	zhēng
脁	tiǎo
脂	zhī
脂	zhǐ
脃	cuì
脄	méi
脅	xiàn
脅	xié
脅	xī
脆	cuì
脇	xié
脈	mài
脉	mài
脊	jí
脊	jǐ
脋	xié
脌	nin
脍	kuài
脎	sà
脏	zàng
脐	qí
脑	nǎo
脒	mǐ
脓	nóng
脔	jī
脔	luán
脕	wàn
脕	wèn
脖	bó
脖	bō
脗	wěn
脘	huàn
脘	wǎn
脙	xiū
脚	jiǎo
脚	jué
脛	jìng
脛	kēng
脜	yǒu
脝	hēng
脞	cuǒ
脞	qiē
脟	liè
脟	luán
脟	pāo
脠	chān
脠	shān
脡	tǐng
脢	méi
脣	chún
脤	shèn
脥	jié
脥	qiǎn
脥	qū
脦	de
脦	tè
脧	juān
脨	cù
脨	jí
脩	tiáo
脩	xiāo
脩	xiū
脩	yǒu
脪	chī
脪	xìn
脫	tuō
脬	pāo
脭	chéng
脮	něi
脮	tuǐ
脯	fǔ
脯	pú
脰	dòu
脱	tuì
脱	tuō
脲	niào
脳	nǎo
脴	pǐ
脵	gǔ
脶	luó
脷	lì
脸	liǎn
脹	cháng
脹	zhàng
脺	cuì
脺	suì
脻	jiē
脼	liǎng
脼	lǎng
脽	shuí
脾	bì
脾	pái
脾	pì
脾	pí
脿	biào
脿	biāo
脿	biǎo
腀	lún
腁	pián
腂	guò
腂	huà
腂	lěi
腃	juàn
腃	kuì
腃	quán
腃	quān
腄	chuái
腄	chuí
腄	hóu
腅	dàn
腆	tiǎn
腇	něi
腈	jīng
腉	nái
腊	là
腊	xī
腋	yè
腌	yān
腌	ā
腌	āng
腍	diàn
腍	rèn
腎	shèn
腏	chuò
腏	zhuì
腐	fǔ
腑	fǔ
腒	jū
腓	féi
腔	kòng
腔	qiāng
腕	wàn
腖	dòng
腗	pí
腘	guó
腙	zōng
腚	dìng
腛	wò
腜	méi
腝	nào
腝	nèn
腝	ní
腝	ruǎn
腝	ér
腞	dùn
腞	tú
腞	zhuàn
腟	chì
腠	còu
腡	luó
腢	ǒu
腣	dì
腤	ān
腥	xīng
腦	nào
腦	nǎo
腧	shù
腧	yú
腨	shuàn
腩	nǎn
腪	yùn
腫	zhǒng
腬	róu
腭	è
腮	sāi
腯	dùn
腯	tú
腰	yāo
腱	jiàn
腱	qián
腲	wěi
腳	jiǎo
腴	yú
腵	jiā
腶	duàn
腷	bì
腸	cháng
腹	fù
腺	xiàn
腻	nì
腼	miǎn
腽	wà
腾	téng
腿	tuǐ
膀	bàng
膀	bǎng
膀	páng
膀	pāng
膀	pǎng
膁	qiǎn
膁	xiàn
膁	yán
膂	lǚ
膃	wà
膄	shòu
膅	táng
膆	sù
膇	zhuì
膈	gé
膉	yì
膊	bó
膊	liè
膊	pò
膋	liáo
膌	jí
膍	pí
膎	xié
膏	gào
膏	gāo
膐	lǚ
膑	bìn
膒	ōu
膓	cháng
膔	biāo
膔	lù
膕	guó
膕	huò
膖	pāng
膗	chuái
膘	biāo
膘	piǎo
膙	jiǎng
膚	fū
膚	lú
膛	táng
膛	tāng
膜	mó
膝	xī
膞	chuǎn
膞	chún
膞	zhuān
膞	zhuǎn
膟	lǜ
膠	háo
膠	jiāo
膠	jiǎo
膠	nǎo
膡	yìng
膢	lǘ
膣	zhì
膤	xuě
膥	cūn
膦	liǎn
膦	lìn
膧	tóng
膨	pèng
膨	péng
膩	nì
膪	chuài
膪	zhà
膪	zhài
膫	liáo
膫	liǎo
膬	cuì
膭	duì
膭	guī
膭	kuì
膮	xiāo
膯	tún
膯	tēng
膰	fán
膰	pán
膱	zhí
膲	jiāo
膳	shàn
膴	hū
膴	méi
膴	wǔ
膵	cuì
膶	rùn
膷	xiāng
膸	suǐ
膸	wěi
膹	fèn
膺	yīng
膻	dàn
膻	shān
膼	zhuā
膽	dǎn
膾	kuài
膿	nóng
臀	tún
臁	lián
臂	bì
臃	yōng
臄	jué
臄	jū
臅	chù
臆	yì
臆	yǐ
臇	juǎn
臈	gé
臈	là
臉	liǎn
臊	sào
臊	sāo
臋	tún
臌	gǔ
臍	qí
臎	cuì
臏	bìn
臐	xūn
臑	nuǎn
臑	nào
臑	nèn
臑	rú
臑	ér
臒	wò
臒	yuè
臓	zàng
臔	xiàn
臕	biāo
臖	xìng
臗	kuān
臘	liè
臘	là
臙	yān
臚	lú
臚	lǚ
臛	huò
臜	zā
臝	luǒ
臞	qú
臟	zàng
臠	luán
臡	luán
臡	ní
臢	zā
臢	zān
臣	chén
臤	qiān
臤	qìn
臤	xián
臥	wò
臦	guàng
臦	jiǒng
臧	cáng
臧	zàng
臧	zāng
臨	lìn
臨	lín
臩	guǎng
臩	jiǒng
自	zì
臫	jiǎo
臬	niè
臭	chòu
臭	xiù
臮	jì
臯	gāo
臰	chòu
臱	biān
臱	mián
臲	niè
至	dié
至	zhì
致	zhuì
致	zhì
臵	gé
臶	jiàn
臷	dié
臷	zhí
臸	jìn
臸	zhī
臹	xiū
臺	tái
臻	zhēn
臼	jiù
臽	xiàn
臾	kuì
臾	yú
臾	yǒng
臾	yǔ
臿	chā
舀	yǎo
舁	yú
舂	chuāng
舂	chōng
舂	zhōng
舃	xì
舄	què
舄	tuō
舄	xì
舅	jiù
舆	yú
與	yù
與	yú
與	yǔ
興	xìn
興	xìng
興	xīng
舉	jǔ
舊	jiù
舋	xìn
舌	guā
舌	shé
舍	shè
舍	shì
舍	shě
舎	shè
舏	jiǔ
舐	shì
舑	tān
舒	shū
舒	yù
舓	shì
舔	tiǎn
舔	tān
舕	tàn
舖	pù
舗	pù
舘	guǎn
